Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
Independent Discs Sweden AB,Seeker,175.1,21.1,1.9,1.2,18.4,1.4,48.5,7.16,,,,22-182,17-Oct-22
Hooligan Discs,Flip,180.1,21.7,1.9,1.3,19.1,1.3,45.25,6.93,,,,22-177,17-Oct-22
TOSY,TOSY UltraLED S3,175.1,21.1,1.9,1.6,18,1.5,61.75,10.68,,,,22-176,17-Oct-22
TOSY,TOSY Smart S3,175.1,21.1,1.9,1.6,18,1.5,61.75,10.91,,,,22-175,17-Oct-22
Discmania,Mermaid,176.8,21.3,1.8,1.2,17.5,1.9,41.75,8.41,,,,22-178,17-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Mid Range Pro,176,21.2,1.6,1.2,19.1,1.1,48,7.39,,,,22-179,17-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Putter Entry,176,21.2,1.8,1.6,19.7,0.8,100.75,7.61,,,,22-180,17-Oct-22
Infinite Discs,Czar,175.1,21.1,1.7,1.2,16.7,2.2,33.25,9.77,,,,22-174,10-Oct-22
Birdie,Weapon,175.1,21.1,1.4,1.1,17.5,1.9,43,9.89,,,,22-173,10-Oct-22
Crown Me (Sunny Sporting Co. Ltd),Be Wild and Free-Mid Range,175.1,21.1,1.9,1.6,18.9,1.1,60,9.77,,,,22-172,4-Oct-22
Chumba Discs,Sombra,174.3,21,2.2,1.4,19,1,64.5,6.93,,,,22-171,4-Oct-22
Hummingbird Flight Tech,Cricket,175.1,21.1,2,1.7,18.5,1.3,81.25,7.84,,,,22-170,4-Oct-22
Clash Discs,Peach,177.6,21.4,1.9,1.3,18.6,1.4,45,9.66,,,,22-166,26-Sep-22
Finish Line Discs,Supra,179.3,21.6,1.7,1.2,18.9,1.4,45,6.93,,,,22-167,26-Sep-22
TOSY,TOSY Smart S10,177.6,21.4,1.6,1.3,16.7,2.3,36.5,11.93,,,,22-168,26-Sep-22
