Manufacturer,Disc Model,Max Weight,Diameter,Height,Rim Depth,Inside Rim Diameter,Rim Thickness,Rim Configuration,Flexibility,Class,Max Weight Vint (gr),Last Year Production,Certification Number,Approved Date
Lone Star Disc,Mad Cat,176,21.2,1.8,1.2,17.4,1.9,30,5.23,,,,20-92,14-Dec-20
Lone Star Disc,The Harpoon,178.5,21.5,1.7,1.2,19.1,1.2,54.25,6.93,,,,20-93,14-Dec-20
Latitude 64,Trust (Royal Prototype),180.1,21.7,1.9,1.3,19.1,1.3,43.75,10.57,,,,20-95,14-Dec-20
Latitude 64,Grace (Royal Prototype),175.1,21.1,1.6,1.1,16.6,2.2,30.5,11.93,,,,20-94,14-Dec-20
Hero Disc,Hero Bullseye Putt & Approach,175.1,21.1,1.8,1.4,19.1,1,60.75,7.95,,,,20-96,14-Dec-20
Hero Disc,Hero Stinger Mid-Range,176,21.2,1.9,1.3,19.2,1,51.5,7.36,,,,20-98,14-Dec-20
Hero Disc,Hero Maximus Distance Driver,175.1,21.1,1.6,1.2,17.6,1.7,31.25,8.75,,,,20-97,14-Dec-20
Discmania,Majesty,174.3,21,1.7,1.2,16.2,2.4,27.25,10.34,,,,20-90,27-Nov-20
Latitude 64,Rive (Royal Prototype),175.1,21.1,1.8,1.2,16.5,2.3,30,12.16,,,,20-88,21-Nov-20
Latitude 64,Faith (Royal Prototype),176,21.2,2.2,1.5,19,1.1,59.5,12.05,,,,20-87,21-Nov-20
EV-7,Penrose ,175.1,21.1,2.1,1.5,18.9,1.1,60.25,6.37,,,,20-89,21-Nov-20
RPM Discs/Disc Golf Aotearoa,Kotuku (MR3),180.1,21.7,1.7,1.4,19,1.4,48.75,11.02,,,,20-84,16-Nov-20
Millennium Golf Discs,Omega4 ,175.1,21.1,2,1.5,19,1,58,8.86,,,,20-85,16-Nov-20
Infinite Discs,Alpaca,175.1,21.1,2,1.5,19,1,63.75,8.52,,,,20-86,16-Nov-20
Lone Star Disc,The Mockingbird (Ka Kaw),174.3,21,2,1.2,17.5,1.8,28.75,7.16,,,,20-81,26-Oct-20
Yikun Discs,"Qi (穷奇, Qiong Qi)",176,21.2,1.6,1.1,16.5,2.3,28.5,7.95,,,,20-77,3-Oct-20
Viking Discs (IP-Agency Finland Oy),Odin,176.8,21.3,1.4,1.1,16.6,2.3,26,11.02,,,,20-76,29-Sep-20
Viking Discs (IP-Agency Finland Oy),Fenrir,176.8,21.3,1.8,1.1,17.3,2,29.75,10.68,,,,20-75,29-Sep-20
Lone Star Disc,The Dillard Midrange Md-1 (Middy),177.6,21.4,1.6,1.2,18.8,1.3,42.75,5.11,,,,20-79,29-Sep-20
Lone Star Disc,Penny Putter ,174.3,21,1.9,1.5,18.8,1.1,61.5,6.7,,,,20-78,29-Sep-20
Innova Champion Discs,Animal,176,21.2,2.1,1.3,19.2,1,64,9.66,,,,20-80,29-Sep-20
Launch Disc Golf,Cipher,179.3,21.6,1.8,1.2,17.9,1.8,32.75,7.05,,,,20-69,8-Sep-20
Yikun Discs,"Xing (刑天, Xing Tian)",176.8,21.3,2.1,1.7,19.3,1,71,6.82,,,,20-72,8-Sep-20
Yikun Discs,"Yan (朱厌, Zhu Yan)",181.8,21.9,2.2,1.4,19.7,1.1,49,9.77,,,,20-73,8-Sep-20
Yikun Discs,"Shu (耳鼠, Er Shu)",180.9,21.8,1.8,1.1,19.1,1.3,36.75,6.59,,,,20-71,8-Sep-20
Yikun Discs,"Fu (夸父, Kua Fu)",176.8,21.3,1.8,1.2,17.5,1.9,28.5,9.77,,,,20-70,8-Sep-20
RPM Discs/Disc Golf Aotearoa,"Kotare (DGD3, retooled)",176,21.2,1.5,1.2,16.5,2.3,28.5,9.77,,,,20-74,8-Sep-20
Fourth Circle Discs,Firehawk,176.8,21.3,1.9,1.2,17.7,1.8,26.25,7.16,,,,20-67,12-Aug-20
Mint Discs,Longhorn,176.8,21.3,1.5,1.2,17,2.1,31,9.89,,,,20-68,12-Aug-20
Launch Disc Golf,Lander,174.3,21,1.8,1.4,18.6,1.2,49.25,11.36,,,,20-66,31-Jul-20
Launch Disc Golf,Code,176,21.2,1.6,1.2,18.3,1.4,32.5,11.14,,,,20-64,31-Jul-20
Launch Disc Golf,Code X,176,21.2,1.6,1.2,18.3,1.4,36.75,10.68,,,,20-65,31-Jul-20
Discmania,Origin,177.6,21.4,1.6,1.2,18.8,1.3,46.5,11.59,,,,20-63,14-Jul-20
Prodigy Disc,D Model US++,174.3,21,1.7,1.1,16.6,2.2,26.5,10.8,,,,20-57,1-Jul-20
Prodigy Disc,D Model US+,174.3,21,1.8,1.1,16.5,2.2,26.25,12.05,,,,20-56,1-Jul-20
Prodigy Disc,F Model US,176.8,21.3,1.5,1.1,17.2,2.1,32,11.59,,,,20-60,1-Jul-20
Prodigy Disc,F Model OS,176.8,21.3,1.6,1.1,17.1,2.1,39,7.47,,,,20-58,1-Jul-20
Prodigy Disc,F Model OS+,176,21.2,1.7,1.1,17.1,2.1,34.25,12.27,,,,20-59,1-Jul-20
Prodigy Disc,P Model US,176.8,21.3,2,1.5,19.1,1.1,63.75,6.93,,,,20-62,1-Jul-20
Prodigy Disc,M Model US,180.9,21.8,1.9,1.5,19.1,1.3,53,8.86,,,,20-61,1-Jul-20
Infinite Discs,Maya,175.1,21.1,1.6,1.1,16.9,2.1,31,9.32,,,,20-52,23-Jun-20
Guru,Flow Motion,175.1,21.1,1.9,1.5,19,1,66.5,8.64,,,,20-43,23-Jun-20
Guru,Mad Mission,176,21.2,1.8,1.4,19.2,1,70.5,8.3,,,,20-45,23-Jun-20
Guru,Inter Locked,176,21.2,2.1,1.6,19.6,0.8,91.75,7.5,,,,20-44,23-Jun-20
Guru,Silent Cruiser,175.1,21.1,1.8,1.3,17.8,1.6,39.5,8.86,,,,20-48,23-Jun-20
Guru,Night Trooper,174.3,21,1.5,1.1,17.5,1.8,29.25,6.36,,,,20-46,23-Jun-20
Guru,Short Slacker,174.3,21,1.4,1.2,16.8,2.1,28.25,12.05,,,,20-47,23-Jun-20
Guru,Super Soft Golf Disc,175.1,21.1,1.6,1.2,19.1,1,52.5,1.7,,,,20-49,23-Jun-20
Thought Space Athletics,Animus,176,21.2,1.6,1.2,17,2.1,30,11.82,,,,20-50,23-Jun-20
Thought Space Athletics,Pathfinder,178.5,21.5,1.7,1.3,18.6,1.4,43,10,,,,20-51,23-Jun-20
Storm Disc Golf,Wall Cloud,181.8,21.9,2.1,1.3,18.8,1.5,31.25,8.41,,,,20-54,23-Jun-20
Discmania,DD2 (new),174.3,21,1.8,1.1,16.4,2.3,31.75,10.68,,,,20-53,23-Jun-20
Above Ground Level,Locust,176,21.2,1.6,1.1,17.2,2,29.75,10.8,,,,20-55,23-Jun-20
Kastaplast,Svea,181.8,21.9,2.1,1.3,19.3,1.3,41.5,6.14,,,,20-40,10-Jun-20
Disc Golf Association,Hypercane,176,21.2,1.6,1.2,16.7,2.2,26.5,11.93,,,,20-41,10-Jun-20
Black Zombie Disc Golf,Shotgun,182.6,22,1.8,1.3,18.8,1.6,48.25,10.68,,,,20-42,10-Jun-20
Disctroyer OÜ,Stork (Toonekurg),176.8,21.3,1.7,1.2,17.5,1.9,33.75,11.7,,,,20-38,28-May-20
Innova Champion Discs,Invader,176,21.2,1.9,1.5,19.1,1,67.75,6.6,,,,20-37,28-May-20
Dynamic Discs,Sergeant (retest),176,21.2,1.5,1.2,17,2.1,28.5,11.7,,,,20-39,28-May-20
Infinite Discs,Inca,180.1,21.7,1.9,1.4,19,1.3,36.25,9.09,,,,20-36,14-May-20
Above Ground Level,Baobab,176.8,21.3,1.7,1.3,19.1,1.1,86.5,7.39,,,,20-34,30-Apr-20
Above Ground Level,Ponderosa,175.1,21.1,2.1,1.5,19,1,69.75,4.66,,,,20-35,30-Apr-20
Discmania,PD3,174.3,21,1.7,1.2,16.6,2.2,37,11.59,,,,20-31,9-Apr-20
Storm Disc Golf,Maelstrom,177.6,21.4,1.7,1.1,17.1,2.2,33.5,7.95,,,,20-32,9-Apr-20
RPM Discs/Disc Golf Aotearoa,"Kiwi (DGD1, retooled)",175.1,21.1,1.9,1.2,16.7,2.2,26,10.57,,,,20-33,9-Apr-20
Mint Discs,Bullet,176,21.2,1.8,1.5,18.9,1.1,58.75,9.32,,,,20-29,26-Mar-20
Mint Discs,Mustang,178.5,21.5,1.6,1.3,18.6,1.4,44.5,8.41,,,,20-30,26-Mar-20
Above Ground Level,Cedar,178.5,21.5,1.7,1.1,17.1,2.2,27.25,11.48,,,,20-19,5-Mar-20
Discraft,Hades,174.3,21,1.6,1.1,16.5,2.3,30,11.93,,,,20-20,5-Mar-20
MVP Disc Sports,Reactor,177.6,21.4,1.7,1.3,18.5,1.4,44.5,9.87,,,,20-21,5-Mar-20
Discmania,Essence,174.3,21,1.8,1.2,17.4,1.8,33.25,11.59,,,,20-22,5-Mar-20
Innova Champion Discs,Rhyno X,176,21.2,2,1.3,19.1,1,63.5,8.52,,,,20-23,5-Mar-20
Prodigy Disc,D Model #3,174.3,21,1.6,1.1,16.7,2.2,26.25,11.93,,,,20-24,5-Mar-20
Prodigy Disc,D Model #5,174.3,21,1.6,1.1,16.7,2.2,28.25,11.36,,,,20-25,5-Mar-20
Prodigy Disc,D Model OS,174.3,21,1.5,1.1,16.7,2.2,26,11.59,,,,20-26,5-Mar-20
Prodigy Disc,M Model S,180.1,21.7,2,1.5,19.1,1.3,47.25,10.91,,,,20-28,5-Mar-20
Prodigy Disc,D Model US,174.3,21,1.6,1.1,16.7,2.2,28.25,11.36,,,,20-27,5-Mar-20
Fourth Circle Discs,Dingo,178.5,21.5,1.6,1.3,18.9,1.3,45,11.59,,,,20-15,20-Feb-20
MVP Disc Sports,Ohm,176,21.2,1.9,1.5,19.1,1,58,8.41,,,,20-16,20-Feb-20
Discraft,Fierce,175.1,21.1,1.9,1.5,19,1,63.5,10.45,,,,20-08,30-Jan-20
Innova Champion Discs,Invictus,176,21.2,1.5,1.2,16.9,2.1,29,11.59,,,,20-09,30-Jan-20
Innova Champion Discs,Warhog,176,21.2,2.2,1.4,18.4,1.4,55.75,11.48,,,,20-10,30-Jan-20
Legacy Discs,Vengeance,176,21.2,1.7,1.2,17.2,2,33,8.86,,,,20-11,30-Jan-20
XCOM Discs,"XPT1 (Bennu, Putter, renamed from Globefish)",174.3,21,2.2,1.5,18.9,1.1,60.5,7.95,,,,20-03,17-Jan-20
XCOM Discs,"XPT2 (Eden, Mid-Range, renamed from Dolphin)",176.8,21.3,2,1.3,18.7,1.3,47.75,9.77,,,,20-04,17-Jan-20
XCOM Discs,"XPT3 (Griffon, Mid-Range, renamed from Grampus)",179.3,21.6,1.9,1.4,18.9,1.3,41.25,7.61,,,,20-05,17-Jan-20
XCOM Discs,"XPT4 (Helios, Driver, renamed from Sailfish)",174.3,21,1.6,1.1,17.7,1.6,34,7.5,,,,20-06,17-Jan-20
XCOM Discs,"XPT5 (Zion, Driver, renamed from Volador)",177.6,21.4,1.7,1.1,17.2,2.1,27,10.11,,,,20-07,17-Jan-20
Kastaplast,Lots,175.1,21.1,1.5,1.1,17.3,1.9,29.5,10.23,,,,20-01,16-Jan-20
Discmania,Tactic,177.6,21.4,1.8,1.4,19.1,1.1,53,10.8,,,,20-02,16-Jan-20
Crosslap Disc Golf Parks,Vigil,180.1,21.7,1.5,1.1,17.9,1.9,32.5,7.39,,,,19-76,5-Dec-19
RPM Discs/Disc Golf Aotearoa,Kotare (DGD3),176,21.2,1.5,1.2,16.5,2.3,31.75,12.16,,,,19-77,5-Dec-19
Discmania,"Sensei (Discmania Active, originally Guardian Lion)",176.8,21.3,2.3,1.4,19.2,1,71,10.68,,,,19-78,5-Dec-19
Dynamic Discs,Bounty,181.8,21.9,1.8,1.2,19.5,1.2,40.25,9.32,,,,19-79,5-Dec-19
Dynamic Discs,Sergeant,175.1,21.1,1.7,1.2,16.9,2.1,28.5,12.16,,,,19-80,5-Dec-19
Disctroyer OÜ,Sparrow (Varblane),176.8,21.3,1.9,1.6,19.1,1.1,69.75,5.34,,,,19-75,21-Nov-19
Latitude 64,Sapphire,174.3,21,1.7,1.2,17,2,29.5,11.02,,,,19-72,12-Nov-19
Innova Champion Discs,Avatar,180.1,21.7,1.8,1.4,19,1.1,52.25,8.3,,,,19-70,24-Oct-19
Infinite Discs,Ruin,180.9,21.8,1.8,1.4,19.1,1.3,49.25,7.73,,,,19-71,24-Oct-19
Thought Space Athletics,Mantra,176,21.2,1.7,1.2,17.1,2,32,9.09,,,,19-69,17-Oct-19
Mint Discs,Freetail,175.1,21.1,1.7,1.2,17.1,2,37.75,11.25,,,,19-63,16-Sep-19
Latitude 64,"SPZ 1 (Putter, Zombie)",176,21.2,2.1,1.5,19,1.1,59.25,9.66,,,,19-65,16-Sep-19
Latitude 64,"SPZ 2 (Midrange, Pirate)",180.1,21.7,1.9,1.3,19.1,1.3,43,7.95,,,,19-66,16-Sep-19
Latitude 64,"SPZ 3 (Driver, Superhero)",175.1,21.1,1.8,1.2,17.3,1.9,31.25,9.77,,,,19-67,16-Sep-19
Infinite Discs,Aztec,176,21.2,1.5,1.1,16.9,2.1,33,10.8,,,,19-68,16-Sep-19
Discraft,Malta (Paul McBeth Proto Mid-Range),176.8,21.3,1.7,1.3,18.6,1.3,45,10.34,,,,19-64,12-Sep-19
Innova Champion Discs,Croc,175.1,21.1,2,1.4,18.3,1.4,56.25,12.16,,,,19-60,5-Sep-19
Prodigy Disc,FX-2,175.1,21.1,1.6,1.2,17.1,2,29.25,12.16,,,,19-61,5-Sep-19
Storm Disc Golf,Radar,175.1,21.1,2,1.5,19.1,1,55.5,8.41,,,,19-62,5-Sep-19
Disctroyer OÜ,Skylark (Lõoke),180.1,21.7,1.9,1.5,19.3,1.4,46.5,5.57,,,,19-57,1-Aug-19
Disc Golf Association,Rift,179.3,21.6,1.8,1.3,18.6,1.5,47,9.89,,,,19-58,1-Aug-19
Infinite Discs,Centurion,175.1,21.1,1.8,1.2,17.8,1.7,37,8.75,,,,19-53,10-Jul-19
Infinite Discs,Cohort,175.1,21.1,1.8,1.3,19.1,1,58.5,6.25,,,,19-54,10-Jul-19
Synergy Discs,Mjölnir,182.6,22,1.6,1.1,18.4,1.8,33.25,9.89,,,,19-55,10-Jul-19
Above Ground Level,Sycamore,176,21.2,2.2,1.3,17.8,1.7,32.25,10.8,,,,19-56,10-Jul-19
Discraft,Anax,177.6,21.4,1.7,1.2,17.5,1.9,29.75,10.45,,,,19-50,19-Jun-19
Yikun Discs,Meteor Hammer (流星锤),176,21.2,2,1.5,19.2,1,52.5,8.64,,,,19-51,19-Jun-19
Yikun Discs,Tomahawk (八卦钺),179.3,21.6,1.9,1.3,19,1.3,34.75,9.55,,,,19-52,19-Jun-19
Black Zombie Disc Golf,Flame Thrower,179.3,21.6,1.7,1.2,17.2,2.2,30,10.11,,,,19-48,4-Jun-19
Mint Discs,Profit,175.1,21.1,1.9,1.6,18.9,1.1,65.75,9.66,,,,19-44,23-May-19
Discmania,Enigma,175.1,21.1,1.6,1.1,16.6,2.2,27.75,11.25,,,,19-45,23-May-19
Discmania,Link,176,21.2,1.9,1.5,19.1,1,71,7.84,,,,19-46,23-May-19
Axiom Discs,Delirium,175.1,21.1,1.8,1.2,16,2.5,27,11.14,,,,19-47,23-May-19
Prodigy Disc,MX-3,180.1,21.7,1.9,1.3,18.9,1.4,32.75,6.48,,,,19-42,7-May-19
Streamline Discs,Stabilizer,176,21.2,1.8,1.4,18.8,1.1,56.25,8.75,,,,19-43,7-May-19
Discmania,Method,180.1,21.7,1.9,1.4,19,1.3,44,10.23,,,,19-39,1-May-19
Millennium Golf Discs,Draco,176,21.2,1.4,1.2,17.3,1.9,35.5,11.14,,,,19-40,1-May-19
Streamline Discs,Lift,176,21.2,1.7,1.2,17.2,2,28,11.93,,,,19-36,17-Apr-19
Tokyo Discs,Rei (零),174.3,21,2.1,1.4,18.7,1.1,50.75,8.18,,,,19-37,17-Apr-19
Discmania,DD3 (retest),175.1,21.1,1.7,1.1,16.3,2.4,26.25,12.13,,,,19-38,17-Apr-19
Discmania,Magician (originally Fox Spirit),176,21.2,1.8,1.3,17.9,1.6,39.75,11.59,,,,19-30,3-Apr-19
Discmania,Guardian Lion,176,21.2,1.8,1.4,19.1,1,59.25,10.68,,,,19-31,3-Apr-19
Discmania,Mentor (originally Sea Serpent),176,21.2,1.8,1.2,17.9,2.1,39.75,11.59,,,,19-32,3-Apr-19
Discmania,Maestro (originally Spring Ox),176.8,21.3,1.7,1.3,19.2,1,55.25,9.43,,,,19-33,3-Apr-19
Discmania,Genius (originally Sun Crow),175.1,21.1,1.7,1.2,17.7,1.7,29.5,12.15,,,,19-34,3-Apr-19
Infinite Discs,Scarab,176,21.2,2.1,1.5,19.2,1,62.5,11.02,,,,19-28,3-Apr-19
Infinite Discs,Scepter,176,21.2,1.4,1.1,17.3,1.9,28.25,10.45,,,,19-29,3-Apr-19
Storm Disc Golf,Abyss,175.1,21.1,1.6,1.1,17.1,2,31.75,11.82,,,,19-35,3-Apr-19
Disc Golf UK Ltd.,The Baron,176,21.2,2,1.6,18.7,2.3,62.25,10.68,,,,19-23,20-Mar-19
Disc Golf UK Ltd.,The Count,178.5,21.5,1.7,1.1,18.7,1.4,35.5,8.86,,,,19-24,20-Mar-19
Disc Golf UK Ltd.,The Duchess,176.8,21.3,1.7,1.1,17.8,1.8,36.5,7.5,,,,19-25,20-Mar-19
Disctroyer OÜ,Starling (Kuldnokk),174.3,21,1.7,1.2,16.2,2.4,27,6.82,,,,19-26,20-Mar-19
Millennium Golf Discs,Falcon,175.1,21.1,1.4,1.1,16.3,2.4,30.25,12.25,,,,19-22,20-Mar-19
Discmania,Instinct (150-175g),176,21.2,1.9,1.1,17.6,1.8,32.25,11.36,,,,19-19,27-Feb-19
Dynamic Discs,Raider,176,21.2,1.5,1.1,16.3,2.3,29.25,11.14,,,,19-18,27-Feb-19
MVP Disc Sports,Entropy,176,21.2,2,1.4,18.8,1.2,31.75,11.7,,,,19-20,27-Feb-19
Streamline Discs,Flare,176,21.2,1.8,1.2,17.2,2,29.5,11.59,,,,19-21,24-Feb-19
Infinite Discs,Emperor,175.1,21.1,1.7,1.2,16.4,2.3,28,11.82,,,,19-17,17-Feb-19
Above Ground Level,Magnolia,180.9,21.8,2,1.2,19,1.4,45.5,10.23,,,,19-16,13-Feb-19
Axiom Discs,Pyro,178.5,21.5,1.6,1.3,18.4,1.6,42.25,12.05,,,,19-14,13-Feb-19
Disc Golf UK Ltd.,The Duke,178.5,21.5,1.9,1.4,18.1,1.7,35.25,11.14,,,,19-13,13-Feb-19
Gateway Disc Sports,Blade,176.8,21.3,1.5,1.1,17.3,2,34,11.71,,,,19-11,13-Feb-19
Gateway Disc Sports,Spear,176,21.2,1.4,1.1,17.3,2,31.25,11.93,,,,19-12,13-Feb-19
Latitude 64,Catch,200,27.6,3,2.2,26,0.8,90,10.45,Super Class,,,19-15,13-Feb-19
Innova Champion Discs,Lion,180.1,21.7,1.7,1.4,19,1.3,54.75,11.57,,,,19-03,31-Jan-19
Mint Discs,Bobcat,177.6,21.4,1.9,1.4,18.5,1.4,36,11.46,,,,19-09,31-Jan-19
Prodigy Disc,D1 Max,174.3,21,1.6,1.2,16.3,2.3,26.75,11.23,,,,19-04,31-Jan-19
Prodigy Disc,D2 Max,175.1,21.1,1.9,1.2,16.3,2.4,30.5,10.32,,,,19-05,31-Jan-19
Prodigy Disc,D3 Max,175.1,21.1,1.8,1.2,16.3,2.4,30.25,11.12,,,,19-06,31-Jan-19
Prodigy Disc,D4 Max,174.3,21,1.9,1.2,16.3,2.4,30.25,10.32,,,,19-07,31-Jan-19
Prodigy Disc,D6 Max,175.1,21.1,1.7,1.2,16.3,2.4,26.75,11.57,,,,19-08,31-Jan-19
RPM Discs/Disc Golf Aotearoa,Huia (DGFD1),176,21.2,1.9,1.2,17.5,1.8,33.75,11.59,,,,19-10,31-Jan-19
Innova Champion Discs,Firefly,175.1,21.1,2.1,1.5,19.1,1,71,12.02,,,,19-02,22-Jan-19
Latitude 64,Keystone,175.1,21.1,1.9,1.5,19,1,75,7.94,,,,19-01,22-Jan-19
Discmania,"DD3 (Cloud Breaker, Distance Driver)",174.3,21,1.8,1.2,16.3,2.4,26.25,12.13,,,,18-94,28-Dec-18
Discraft,Zeus (former Kong),175.1,21.1,1.6,1.2,16.5,2.3,28.5,11.79,,,,18-95,28-Dec-18
Discraft,Luna,175.1,21.1,2,1.4,18.9,1.1,68.5,12.13,,,,18-96,28-Dec-18
Discraft,Raptor,176.8,21.3,1.9,1.1,17.4,1.9,27.25,12.13,,,,18-92,28-Dec-18
Westside Golf Discs,Gatekeeper,180.1,21.7,1.8,1.3,18.9,1.4,41.25,9.87,,,,18-93,28-Dec-18
Prodigy Disc,D Model Distance Driver S,175.1,21.1,1.5,1.1,16.7,2.2,30,7.71,,,,18-88,16-Dec-18
Prodigy Disc,F Model Fairway Driver S,176.8,21.3,1.4,1.1,17.2,2,30.25,7.03,,,,18-89,16-Dec-18
Prodigy Disc,M Model Mid Range OS,180.1,21.7,1.9,1.4,19.1,1.3,45.25,11.91,,,,18-90,16-Dec-18
Prodigy Disc,P Model Putter OS,175.1,21.1,2.2,1.5,19.1,1,58.75,4.99,,,,18-91,16-Dec-18
Innova Champion Discs,Corvette,175.1,21.1,1.8,1.2,16.3,2.3,26.75,11.68,,,,18-83,16-Dec-18
Prodigy Disc,D1 V2 (retooled D1),175.1,21.1,1.9,1.2,16.3,2.4,26.75,9.88,,,,18-84,16-Dec-18
Prodigy Disc,D2 V2 (retooled D2),175.1,21.1,1.9,1.2,16.3,2.4,30.5,10.21,,,,18-85,16-Dec-18
Prodigy Disc,D3 V2 (retooled D3),174.3,21,1.9,1.2,16.3,2.4,30.25,10.55,,,,18-86,16-Dec-18
Prodigy Disc,D6 V2 (retooled D6),174.3,21,1.8,1.2,16.3,2.3,26.75,11.68,,,,18-87,16-Dec-18
Above Ground Level,Madrone,174.3,21,2.2,1.7,19,1,83.5,8.16,,,,18-81,23-Nov-18
Above Ground Level,Manzanita,174.3,21,2.1,1.6,18.7,1.1,67,9.41,,,,18-82,23-Nov-18
Discraft,SoL (Ace Race 2018),175.1,21.1,1.7,1.3,18.9,1.1,51.25,8.73,,,,18-78,23-Nov-18
Latitude 64,Pioneer,176,21.2,1.5,1.2,17.3,1.9,27,11.57,,,,18-79,23-Nov-18
Latitude 64,Recoil,176,21.2,1.8,1.2,16.8,2.2,26,11.22,,,,18-80,23-Nov-18
Dynamic Discs,Guard,174.3,21,2.1,1.6,19.1,0.9,90,7.84,,,,18-76,4-Nov-18
Dynamic Discs,Vandal,176,21.2,1.7,1.1,17.4,1.9,36.25,8.39,,,,18-77,4-Nov-18
Innova Champion Discs,Bullfrog,175.1,21.1,1.8,1.3,19,1,67.75,8.16,,,,18-74,4-Nov-18
Kastaplast,Göte,181.8,21.9,2.1,1.3,19.3,1.3,42.25,7.14,,,,18-75,4-Nov-18
Infinite Discs,Ra,180.1,21.7,1.8,1.4,18.8,1.4,50.25,7.71,,,,18-73,2-Nov-18
Millennium Golf Discs,Marksman,175.1,21.1,1.6,1.2,17.2,1.9,29,11.23,,,,18-67,1-Oct-18
Obsidian Discs Oy,Shard,176,21.2,1.5,1.2,17.4,1.9,28,9.19,,,,18-66,1-Oct-18
Storm Disc Golf,Jet Stream,174.3,21,1.7,1.2,16.5,2.3,26.5,8.28,,,,18-68,1-Oct-18
Storm Disc Golf,The Crater,175.1,21.1,1.8,1.3,19,1.1,79.25,7.71,,,,18-69,1-Oct-18
Storm Disc Golf,The Eye,181.8,21.9,1.8,1.2,19,1.4,46.75,8.96,,,,18-70,1-Oct-18
Disc Golf Association,Tempest,175.1,21.1,1.7,1.1,16.5,2.3,26.25,9.87,,,,18-64,16-Aug-18
Yikun Discs,"Crossbow (Nu, 连弩)",176.8,21.3,1.6,1.3,18.2,1.6,42.75,9.64,,,,18-62,16-Aug-18
Yikun Discs,"Hammer (Chui, 战锤)",175.1,21.1,1.7,1.4,18.5,1.3,56.25,11.11,,,,18-63,16-Aug-18
Streamline Discs,Runway,178.5,21.5,1.7,1.4,18.6,1.4,47.25,9.87,,,,18-61,2-Aug-18
Innova Champion Discs,Gator3,176,21.2,1.8,1.4,18.2,1.5,49.5,12.03,,,,18-59,10-Jul-18
Disc Golf Association,Steady - Beadless (BL),176,21.2,2.5,1.5,19,1.1,64.75,6.92,,,,18-54,21-Jun-18
Fourth Circle Discs,Taipan,175.1,21.1,1.6,1.1,16.3,2.4,27.25,9.19,,,,18-53,21-Jun-18
Gateway Disc Sports,Apex,178.5,21.5,1.9,1.1,17.1,2.3,30.25,9.75,,,,18-49,21-Jun-18
Gateway Disc Sports,Slayer (retooled),175.1,21.1,1.5,1.2,16.4,2.3,30,9.3,,,,18-50,21-Jun-18
Infinite Discs,Anubis,180.9,21.8,2.1,1.3,18.7,1.4,50,9.19,,,,18-51,21-Jun-18
Infinite Discs,Slab,176,21.2,1.6,1.2,16.6,2.3,29,9.3,,,,18-52,21-Jun-18
Legacy Discs,Pursuit,176.8,21.3,1.6,1.3,18.3,1.5,44,9.19,,,,18-55,21-Jun-18
Legacy Discs,Recluse,176.8,21.3,1.6,1.3,18.3,1.5,44,9.07,,,,18-56,21-Jun-18
Legacy Discs,Valor,180.1,21.7,2.1,1.3,19.3,1.2,49,7.03,,,,18-57,21-Jun-18
Black Zombie Disc Golf,Berzerker,177.6,21.4,1.6,1.1,17,2.2,29.5,10.55,,,,18-47,31-May-18
Guru,Fenris,176,21.2,1.7,1.1,16.2,2.5,26,10.66,,,,18-46,31-May-18
FlyTec,Bull Bay,176,21.2,2,1.4,19.2,1,47.75,4.88,,,,18-41,9-May-18
FlyTec,Oak,175.1,21.1,2,1.2,17.2,2,32.5,8.39,,,,18-42,9-May-18
FlyTec,Willow,178.5,21.5,2.1,1.4,18.9,1.2,47,6.46,,,,18-43,9-May-18
Latitude 64,Musket,176,21.2,1.8,1.1,17.1,2,28.5,10.55,,,,18-45,9-May-18
Obsidian Discs Oy,Rift,176,21.2,1.5,1.2,17,2.1,29,10.32,,,,18-40,9-May-18
Streamline Discs,Drift,176,21.2,1.8,1.2,17.7,1.8,33,9.3,,,,18-44,9-May-18
Prodigy Disc,H2 V2 (retooled H2),177.6,21.4,1.6,1.2,17.4,2,28,8.39,,,,18-38,20-Apr-18
Prodigy Disc,H4 V2,176.8,21.3,1.5,1.2,17.4,2,29,8.5,,,,18-39,20-Apr-18
Discmania,FD2 (retooled Fairway Driver),176,21.2,1.6,1.1,17.5,1.8,33.75,12.13,,,,18-34,29-Mar-18
Discmania,MD5 (Midrange Driver),175.1,21.1,1.9,1.3,18.3,1.4,62.25,11.91,,,,18-35,29-Mar-18
Infinite Discs,Myth,176,21.2,2.1,1.5,19,1.1,68.75,9.07,,,,18-29,29-Mar-18
Infinite Discs,Sphinx,175.1,21.1,1.6,1.1,17.3,1.9,30.75,11.79,,,,18-30,29-Mar-18
Infinite Discs,Tomb,176.8,21.3,1.6,1.3,19.1,1.1,65.5,7.6,,,,18-31,29-Mar-18
Axiom Discs,Excite,175.1,21.1,2.1,1.2,15.9,2.5,27,11.91,,,,18-36,25-Mar-18
Axiom Discs,Tantrum,175.1,21.1,1.9,1.2,16,2.5,26.75,12.13,,,,18-25,15-Mar-18
Kestrel Outdoors,Beginner Fairway Driver,174.3,21,1.5,1.1,17.6,1.7,29,7.14,,,,18-22,15-Mar-18
Kestrel Outdoors,Beginner Mid-Range,175.1,21.1,1.9,1.2,19.1,1,58.75,6.46,,,,18-23,15-Mar-18
Kestrel Outdoors,Beginner Putter,176,21.2,1.9,1.6,19.6,0.8,104.25,7.03,,,,18-24,15-Mar-18
